Category,Name,ID,Density (kg/m3),Reference,UBP (Total),UBP (Manufacturing),UBP (Disposal),Total Renewable Primary Energy [kWh oil-eq], Manufacturing Renewable Primary Energy [kWh oil-eq],Disposal Renewable Primary Energy [kWh oil-eq],Total Non-Renewable Primary Energy [kWh oil-eq],Manufacturing Non-Renewable Primary Energy [kWh oil-eq],Disposal Non-Renewable Primary Energy [kWh oil-eq],Global Warming Potential Total [kgCO2-eqv],Global Warming Potential Manufacturing [kgCO2-eqv],Global Warming Potential Disposal [kgCO2-eqv],Biogenic Carbon [kg C]
Beton,Magerbeton (ohne Bewehrung),1.001,2150,kg,104,68.8,35.4,0.0103,0.00838,0.00192,0.128,0.0767,0.0516,0.0628,0.0502,0.0126,0
Beton,"Magerbeton, NovoCon Sohlenbeton, 150 kg CEM II/C-M (F-T) (ohne Bewehrung)",01.001.01,1610,kg,104,69.1,35.2,0.0125,0.0106,0.00191,0.144,0.0923,0.0513,0.066,0.0534,0.0126,0.00304
Beton,Hochbaubeton (ohne Bewehrung),1.002,2300,kg,153,118,35.2,0.0149,0.013,0.00191,0.175,0.123,0.0513,0.101,0.0887,0.0126,0
Beton,"Beton Klark Sorte A, 280kg CEM II/B (ohne Bewehrung)",01.002.01,2269,kg,174,138,35.4,0.581,0.579,0.00189,0.218,0.167,0.0516,0.105,0.092,0.0127,0.0253
Beton,"Beton Klark Sorte A, 300kg CEM II/B (ohne Bewehrung)",01.002.02,2293,kg,180,145,35.4,0.609,0.607,0.00189,0.225,0.174,0.0516,0.11,0.097,0.0127,0.0266
Beton,"Beton Klark Sorte B, 320kg CEM II/B (ohne Bewehrung)",01.002.03,2333,kg,187,151,35.4,0.64,0.638,0.00189,0.232,0.181,0.0516,0.114,0.101,0.0127,0.0279
Beton,"Beton Klark Sorte C, 340kg CEM II/B (ohne Bewehrung)",01.002.04,2353,kg,192,157,35.4,0.668,0.666,0.00189,0.242,0.19,0.0516,0.119,0.107,0.0127,0.0292
Beton,"Hochbaubeton, zirkulit® NPK A, 280kg CEM II/B (ohne Bewehrung)",01.002.05,2350,kg,145,109,35.4,0.016,0.014,0.002,0.194,0.142,0.052,0.0967,0.0837,0.013,0.00117
Beton,"Hochbaubeton, zirkulit® NPK C, 300kg CEM II/B (ohne Bewehrung)",01.002.06,2350,kg,153,117,35.4,0.0161,0.0141,0.002,0.201,0.149,0.052,0.102,0.0888,0.013,0.00117
Beton,"Hochbaubeton, Möckli Primärbeton, NPK A, 280 kg CEM II/B-LL (ohne Bewehrung)",01.002.07,2311.4,kg,142,106,35.2,0.0147,0.0128,0.00191,0.162,0.111,0.0513,0.0904,0.0778,0.0126,0.000687
Beton,"Hochbaubeton, NovoCon Light C25/E30, NPK A, 280 kg CEM II/C-M (F-T) (ohne Bewehrung)",01.002.08,2311.4,kg,134,99.2,35.2,0.0146,0.0127,0.00191,0.177,0.126,0.0513,0.0836,0.071,0.0126,0.000778
Beton,"Hochbaubeton, NovoCon C50/E25, NPK A, 280 kg CEM II/C-M (F-T) (ohne Bewehrung)",01.002.10,2272.1,kg,130,94.3,35.2,0.0144,0.0125,0.00191,0.176,0.125,0.0513,0.0839,0.0713,0.0126,0.00206
Beton,"Hochbaubeton, NovoCon C50/E25, NPK C, 300 kg CEM II/C-M (F-T) (ohne Bewehrung)",01.002.12,2263.9,kg,137,102,35.2,0.0152,0.0133,0.00191,0.19,0.139,0.0513,0.0899,0.0773,0.0126,0.00207
Beton,"Hochbaubeton, NovoCon RC-M10/E20, NPK A, 280 kg CEM II/C-M (F-T) (ohne Bewehrung)",01.002.11,2252.8,kg,129,93.3,35.2,0.0144,0.0125,0.00191,0.178,0.126,0.0513,0.0844,0.0718,0.0126,0.00247
Beton,Tiefbaubeton (ohne Bewehrung),1.003,2350,kg,163,128,35.1,0.016,0.0141,0.0019,0.189,0.138,0.0513,0.109,0.0963,0.0125,0
Beton,Bohrpfahlbeton (ohne Bewehrung),1.004,2325,kg,174,139,35.1,0.0172,0.0153,0.0019,0.197,0.146,0.0512,0.119,0.107,0.0125,0
Beton,"Betonfertigteil, hochfester Beton, ab Werk",1.041,2770,kg,440,409,31,0.0758,0.0741,0.00168,0.697,0.652,0.0453,0.276,0.265,0.0111,0
Beton,"Betonfertigteil, Normalbeton, ab Werk",1.042,2500,kg,282,248,33.9,0.0948,0.093,0.00184,0.432,0.383,0.0495,0.177,0.165,0.0121,0
Beton,Hanfbeton,1.043,600,kg,665,663,1.69,0.899,0.899,0.000016,0.959,0.959,0.000296,0.324,0.324,0.0000732,0.0649
Beton,"Hanfbeton, ARBIO",01.043.01,600,kg,639,638,1.69,0.865,0.865,0.000016,0.922,0.922,0.000296,0.312,0.312,0.0000732,0.0649
Mauersteine,Backstein,2.001,900,kg,371,328,42.5,0.0806,0.0783,0.00221,0.787,0.734,0.0526,0.266,0.254,0.0127,0
Mauersteine,"Backstein, perlitgefüllt, zzwancor",02.001.01,575,kg,420,378,42.5,0.105,0.103,0.00221,0.914,0.861,0.0526,0.283,0.27,0.0127,0
Mauersteine,Kalksandstein,2.002,1400,kg,258,216,42.5,0.039,0.0368,0.00221,0.389,0.337,0.0526,0.162,0.149,0.0127,0
Mauersteine,"Kalksandstein, FBB",02.002.01,1600,kg,196,153,42.5,0.0347,0.0325,0.00221,0.315,0.263,0.0526,0.115,0.102,0.0127,0
Mauersteine,"Kalksandstein, Hunziker Kalksandstein AG",02.002.02,1600,kg,190,148,42.5,0.0167,0.0145,0.00221,0.287,0.235,0.0526,0.106,0.0938,0.0127,0
Mauersteine,Leichtlehmstein,2.003,700,kg,353,311,42.5,0.793,0.791,0.00221,0.764,0.711,0.0526,0.18,0.167,0.0127,0
Mauersteine,"Leichtzementstein, Blähton",2.004,1200,kg,609,566,42.5,0.0564,0.0541,0.00221,1.42,1.37,0.0526,0.428,0.415,0.0127,0
Mauersteine,"Leichtzementstein, Naturbims",2.005,1200,kg,322,280,42.5,0.0367,0.0345,0.00221,0.363,0.311,0.0526,0.212,0.2,0.0127,0
Mauersteine,Porenbetonstein,2.006,500,kg,573,531,42.5,0.0709,0.0687,0.00221,0.86,0.807,0.0526,0.426,0.413,0.0127,0
Mauersteine,Zementstein,2.007,1700,kg,214,172,42.5,0.0263,0.0241,0.00221,0.225,0.173,0.0526,0.126,0.114,0.0127,0
Mauersteine,"Erdstein, aus gepresster Erde, Terrabloc",02.007.01,1850,kg,136,84,51.6,0.01,0.01,0,0.142,0.129,0.013,0.057,0.054,0.003,0
Mauersteine,"Hanfsteine, Schönthaler AG",02.007.02,300,kg,824,751,72.1,1.81,1.8,0.00431,1.91,1.77,0.145,0.372,0.338,0.0334,0.15
"Mineralische Platten, Schüttungen, Steine und Ziegel",Betongranulat 1,3.021,1500,kg,43.3,3.16,40.2,0.00374,0.00148,0.00226,0.0616,0.00905,0.0526,0.014,0.00132,0.0126,0
"Mineralische Platten, Schüttungen, Steine und Ziegel",Betonziegel,3.001,2300,kg,326,284,42.5,0.038,0.0358,0.00221,0.468,0.416,0.0526,0.209,0.196,0.0127,0
"Mineralische Platten, Schüttungen, Steine und Ziegel",Faserzement-Dachschindel,3.002,1800,kg,1100,1030,67.8,0.496,0.495,0.0016,2.16,2.11,0.0528,0.699,0.686,0.0132,0
"Mineralische Platten, Schüttungen, Steine und Ziegel",Faserzementplatte gross,3.003,1800,kg,1510,1450,67.8,0.62,0.619,0.0016,2.92,2.87,0.0528,1.03,1.02,0.0132,0
"Mineralische Platten, Schüttungen, Steine und Ziegel",Faserzement-Wellplatte,3.004,1800,kg,1060,991,67.8,0.557,0.556,0.0016,1.78,1.72,0.0528,0.649,0.636,0.0132,0
"Mineralische Platten, Schüttungen, Steine und Ziegel",Flachglas beschichtet,3.005,2500,kg,1990,1920,68.8,0.263,0.251,0.0121,4.64,4.53,0.109,1.2,1.18,0.0191,0
"Mineralische Platten, Schüttungen, Steine und Ziegel",Flachglas unbeschichtet,3.006,2500,kg,1790,1720,68.8,0.143,0.131,0.0121,4.08,3.97,0.109,1.14,1.12,0.0191,0
"Mineralische Platten, Schüttungen, Steine und Ziegel",Gipsfaserplatte,3.007,1200,kg,873,801,71.5,0.098,0.0938,0.00418,2.47,2.39,0.0781,0.552,0.533,0.0186,0.0449
"Mineralische Platten, Schüttungen, Steine und Ziegel",Gipsfaserplatte Fermacell,03.007.01,1180,kg,596,524,71.4,0.69,0.686,0.0041,1.47,1.4,0.0781,0.335,0.317,0.0186,0.0617
"Mineralische Platten, Schüttungen, Steine und Ziegel",Gipskartonplatte,3.008,850,kg,523,452,71.7,0.089,0.0848,0.00417,1.33,1.25,0.0778,0.301,0.283,0.0187,0.018
"Mineralische Platten, Schüttungen, Steine und Ziegel",Gips-Wandbauplatte / Vollgipsplatte,3.016,1000,kg,531,459,71.3,0.0323,0.0281,0.00419,1.45,1.37,0.0783,0.317,0.298,0.0185,0
"Mineralische Platten, Schüttungen, Steine und Ziegel",Glasfaserbeton Ecomur,03.023.01,2240,kg,1335.9,1300,35.9,0.51092,0.509,0.00192,2.2022,2.15,0.0522,0.8858,0.873,0.0128,0
"Mineralische Platten, Schüttungen, Steine und Ziegel",Hartsandsteinplatte,3.009,2500,kg,112,69.3,42.5,0.046,0.0438,0.00221,0.275,0.223,0.0526,0.0406,0.028,0.0127,0
"Mineralische Platten, Schüttungen, Steine und Ziegel",Kalksteinplatte,3.017,2500,kg,141,98.3,42.5,0.0261,0.0239,0.00221,0.338,0.286,0.0526,0.0736,0.061,0.0127,0
"Mineralische Platten, Schüttungen, Steine und Ziegel",Keramik-/Steinzeugplatte,3.01,2600,kg,4100,4060,42.5,0.212,0.21,0.00221,3.72,3.67,0.0526,0.793,0.78,0.0127,0
"Mineralische Platten, Schüttungen, Steine und Ziegel",Kies gebrochen 1,3.011,1450,kg,64.8,24.6,40.2,0.00776,0.0055,0.00226,0.0847,0.0321,0.0526,0.0176,0.00501,0.0126,0
"Mineralische Platten, Schüttungen, Steine und Ziegel",Mischgranulat 1,3.022,1600,kg,41,0.828,40.2,0.00233,0.0000665,0.00226,0.053,0.000456,0.0526,0.0133,0.00071,0.0126,0
"Mineralische Platten, Schüttungen, Steine und Ziegel",Rundkies 1,3.012,1650,kg,59.4,19.2,40.2,0.00405,0.00179,0.00226,0.0682,0.0156,0.0526,0.0157,0.00305,0.0126,0
"Mineralische Platten, Schüttungen, Steine und Ziegel",Sand 1,3.013,1500,kg,59.4,19.2,40.2,0.00405,0.00179,0.00226,0.0682,0.0156,0.0526,0.0157,0.00305,0.0126,0
"Mineralische Platten, Schüttungen, Steine und Ziegel",Sanitärkeramik,3.014,2000,kg,4680,4640,42.5,0.367,0.365,0.00221,11.1,11.1,0.0526,2.38,2.37,0.0127,0
"Mineralische Platten, Schüttungen, Steine und Ziegel",Stampflehm,3.02,2000,kg,80.1,32,48.2,0.00514,0.00487,0.00027,0.0795,0.0745,0.00496,0.0194,0.0183,0.00115,0
"Mineralische Platten, Schüttungen, Steine und Ziegel",Tonziegel,3.015,1700,kg,514,479,35.6,0.0357,0.0338,0.00193,1.11,1.06,0.052,0.385,0.373,0.0127,0
Mörtel und Putze,Baukleber/Einbettmörtel mineralisch,4.008,1400,kg,633,590,42.5,0.175,0.173,0.00208,1.53,1.47,0.0524,0.406,0.393,0.0127,0
Mörtel und Putze,Baukleber/Einbettmörtel mineralisch Leichtzuschlag,4.01,1100,kg,638,595,42.5,0.154,0.152,0.00208,1.61,1.56,0.0524,0.426,0.414,0.0127,0
Mörtel und Putze,Baukleber/Einbettmörtel organisch,4.002,1670,kg,1390,1350,42.5,0.163,0.161,0.00208,4.15,4.1,0.0524,0.777,0.764,0.0127,0
Mörtel und Putze,Gips-Kalk-Putz,4.017,925,kg,251,209,42.5,0.0649,0.0629,0.00208,0.674,0.622,0.0524,0.158,0.145,0.0127,0
Mörtel und Putze,Gips-/Weissputz,4.001,1100,kg,241,199,42.5,0.0633,0.0612,0.00208,0.68,0.628,0.0524,0.151,0.138,0.0127,0
Mörtel und Putze,Kunststoffputz (Dispersionsputz),4.003,1540,kg,1740,1700,42.5,0.238,0.236,0.00208,5.2,5.15,0.0524,0.97,0.957,0.0127,0
Mörtel und Putze,Kalk-Zement/Zement-Kalk-Putz,4.013,1550,kg,396,353,42.5,0.136,0.134,0.00208,0.715,0.662,0.0524,0.263,0.251,0.0127,0
Mörtel und Putze,Lehmputz,4.004,1800,kg,96.2,53.7,42.5,0.019,0.0169,0.00208,0.172,0.12,0.0524,0.0323,0.0195,0.0127,0
Mörtel und Putze,Leichtputz mineralisch,4.015,1000,kg,574,532,42.5,0.164,0.162,0.00208,1.23,1.18,0.0524,0.373,0.36,0.0127,0
Mörtel und Putze,Silikatputz (Dispersionssilikatputz),4.011,1880,kg,1880,1840,42.5,0.278,0.276,0.00208,5.49,5.43,0.0524,1.08,1.07,0.0127,0
Mörtel und Putze,Silikonharzputz,4.012,1670,kg,2010,1970,42.5,0.361,0.359,0.00208,6.09,6.04,0.0524,1.14,1.13,0.0127,0
Mörtel und Putze,Sumpfkalkputz,4.016,1350,kg,745,702,42.5,0.13,0.128,0.00208,1.77,1.72,0.0524,0.51,0.497,0.0127,0
Mörtel und Putze,"Unterlagsboden Anhydrit, 60 mm",4.005,2000,kg,215,172,42.5,0.0323,0.0301,0.00221,0.429,0.376,0.0526,0.0911,0.0784,0.0127,0
Mörtel und Putze,"Unterlagsboden Zement, 85 mm",4.006,1850,kg,206,163,42.5,0.0366,0.0344,0.00221,0.231,0.179,0.0526,0.12,0.107,0.0127,0
Mörtel und Putze,Wärmedämmputz EPS,4.007,250,kg,964,921,42.5,0.151,0.148,0.00208,1.79,1.74,0.0524,0.727,0.714,0.0127,0
Mörtel und Putze,Weisszementputz,4.014,1550,kg,507,464,42.5,0.141,0.139,0.00208,0.901,0.848,0.0524,0.353,0.341,0.0127,0
Mörtel und Putze,Zementputz,4.009,1550,kg,391,348,42.5,0.128,0.126,0.00208,0.654,0.602,0.0524,0.261,0.248,0.0127,0
"Fenster, Sonnenschutz, Fassadenplatten","Fassade, Pfosten-Riegel, Alu/Glas",5.008,,qm,329000,313000,15500,73.2,72.8,0.49,703,698,5.23,182,169,13.1,0
"Fenster, Sonnenschutz, Fassadenplatten","Fassadenplatte, Aluverbund, 4 mm",5.022,,qm,74900,66600,8270,24,24,0.0511,192,192,0.87,43.3,35.7,7.65,0
"Fenster, Sonnenschutz, Fassadenplatten","Fassadenplatte, Glasfaserbeton Ecomur, 15mm",05.028.01,,qm,44886.24,43680,1206.24,17.166912,17.1024,0.064512,73.99392,72.24,1.75392,29.76288,29.3328,0.43008,0
"Fenster, Sonnenschutz, Fassadenplatten","Fassadenplatte, Glasfaserbeton Ecomur, 18mm",05.028.02,,qm,53836.77,52390,1446.77,20.590076,20.5127,0.077376,88.74866,86.645,2.10366,35.69774,35.1819,0.51584,0
"Fenster, Sonnenschutz, Fassadenplatten","Fassadenplatte, Hochdrucklaminatplatte (HPL), 8.1 mm",5.023,,qm,73400,58400,15000,84.4,84.2,0.205,198,195,3.05,46,33.3,12.6,3.28
"Fenster, Sonnenschutz, Fassadenplatten","Fassadenplatte, Kalkstein, 30 mm",5.025,,qm,11000,7670,3310,2.04,1.87,0.172,26.4,22.3,4.1,5.74,4.75,0.989,0
"Fenster, Sonnenschutz, Fassadenplatten","Fassadenplatte, Kunststoff glasfaserverstärkt (GFK), 1.6 mm",5.024,,qm,31700,25700,6000,3.63,3.6,0.0291,75.4,74.7,0.654,22.1,16.6,5.51,0
"Fenster, Sonnenschutz, Fassadenplatten",Fensterrahmen Aluminium,5.004,,qm,246000,230000,16200,77.5,77.4,0.107,553,551,1.98,132,117,14.9,0
"Fenster, Sonnenschutz, Fassadenplatten","Fensterrahmen Aluminium, WICLINE 75evo, hergestellt mit Hydro CIRCAL 75R",05.004.01,,qm,177000,171000,6240,53.9,53.9,0.0156,193,193,0.48,55.6,49.6,5.98,0
"Fenster, Sonnenschutz, Fassadenplatten",Fensterrahmen Holz,5.005,,qm,77700,70600,7120,190,190,0.0357,172,170,2,36.2,30.3,5.89,7.5
"Fenster, Sonnenschutz, Fassadenplatten","Fensterrahmen Holz, Saphir integral 67/55, G. Baumgartner AG",05.005.01,,qm,59300,55400,3960,114,114,0.0221,139,138,1.23,25.4,22,3.36,4.11
"Fenster, Sonnenschutz, Fassadenplatten",Fensterrahmen Holz-Metall,5.006,,qm,134000,126000,8230,179,179,0.0369,300,298,1.89,65.7,58.6,7.11,6.25
"Fenster, Sonnenschutz, Fassadenplatten","Fensterrahmen Holz-Metall, Saphir integral 55/55, G. Baumgartner AG",05.006.01,,qm,79600,71900,7640,113,113,0.0309,193,191,1.46,38,31.1,6.9,3.81
"Fenster, Sonnenschutz, Fassadenplatten",Fensterrahmen Kunststoff/PVC ,5.007,,qm,115000,103000,11800,15.6,15.1,0.494,328,323,5.31,63.4,53.2,10.2,0
"Fenster, Sonnenschutz, Fassadenplatten","Isolierverglasung 2-fach, Ug-Wert 1.1 W/m2K, Dicke 24 mm",5.001,,qm,70700,65800,4910,10.5,10.2,0.277,167,165,2.66,44.3,40.7,3.6,0
"Fenster, Sonnenschutz, Fassadenplatten","Isolierverglasung 2-fach, Ug-Wert 1.1 W/m2K, Dicke 18 mm",5.009,,qm,78900,74800,4090,13.2,12.9,0.272,195,192,2.58,48.6,45.7,2.84,0
"Fenster, Sonnenschutz, Fassadenplatten","Isolierverglasung 2-fach, ESG, Ug-Wert 1.1 W/m2K",5.01,,qm,87000,82100,4910,18.9,18.7,0.277,216,214,2.66,52.1,48.5,3.6,0
"Fenster, Sonnenschutz, Fassadenplatten","Isolierverglasung 2-fach, VSG, Ug-Wert 1.1 W/m2K",5.002,,qm,128000,119000,8730,21.7,21.2,0.424,324,320,4.12,79.3,72.6,6.68,0
"Fenster, Sonnenschutz, Fassadenplatten","Isolierverglasung 2-fach, ESG/VSG, Ug-Wert 1.1 W/m2K",5.011,,qm,144000,136000,8730,30.1,29.7,0.424,373,369,4.12,87.1,80.4,6.68,0
"Fenster, Sonnenschutz, Fassadenplatten","Isolierverglasung 3-fach, Ug-Wert 0.5 W/m2K, Dicke 36 mm",5.003,,qm,128000,121000,6830,23.3,22.9,0.412,320,316,3.93,78.3,73.4,4.92,0
"Fenster, Sonnenschutz, Fassadenplatten","Isolierverglasung 3-fach, Ug-Wert 0.6 W/m2K, Dicke 40 mm",5.012,,qm,110000,102000,7680,16.5,16.1,0.417,255,251,4.02,67.8,62.1,5.7,0
"Fenster, Sonnenschutz, Fassadenplatten","Isolierverglasung 3-fach, ESG/ESG, Ug-Wert 0.6 W/m2K",5.013,,qm,143000,135000,7680,33.5,33.1,0.417,353,349,4.02,83.3,77.6,5.7,0
"Fenster, Sonnenschutz, Fassadenplatten","Isolierverglasung 3-fach, ESG/ESG/ESG, Ug-Wert 0.6 W/m2K",5.014,,qm,159000,151000,7680,41.9,41.5,0.417,402,398,4.02,91.1,85.4,5.7,0
"Fenster, Sonnenschutz, Fassadenplatten","Isolierverglasung 3-fach, VSG, Ug-Wert 0.6 W/m2K",5.015,,qm,168000,156000,11500,27.5,27,0.564,412,406,5.48,103,94,8.78,0
"Fenster, Sonnenschutz, Fassadenplatten","Isolierverglasung 3-fach, ESG/VSG, Ug-Wert 0.6 W/m2K",5.016,,qm,185000,174000,11500,36.3,35.7,0.564,464,459,5.48,111,103,8.78,0
"Fenster, Sonnenschutz, Fassadenplatten",Putzträgerplatte kunstharzgebunden 13 mm,5.02,,qm,16600,16400,268,3.61,3.6,0.0139,44.3,44,0.331,8.11,8.03,0.0799,0
"Fenster, Sonnenschutz, Fassadenplatten",Putzträgerplatte mineralisch gebunden 12.5 mm,5.021,,qm,9910,9300,612,2.44,2.41,0.0318,19.1,18.3,0.757,6.31,6.12,0.183,0
"Fenster, Sonnenschutz, Fassadenplatten","Rahmenverbreiterung, PVC",5.026,,qm,99700,66500,33300,42,41,1.06,306,294,12.5,69.7,39.5,30.1,0.778
"Fenster, Sonnenschutz, Fassadenplatten","Rahmenverbreiterung, Spanplatte",5.027,,qm,43500,35900,7590,94.5,94.4,0.123,124,121,3.52,26.1,19.5,6.59,6.68
"Fenster, Sonnenschutz, Fassadenplatten","Sonnenschutz, Ausstellstoren motorisiert",5.018,,qm,150000,148000,2110,35.9,35.9,0.0296,283,282,0.542,67.8,65.9,1.91,0
"Fenster, Sonnenschutz, Fassadenplatten","Sonnenschutz, Lamellenstoren motorisiert",5.017,,qm,133000,131000,1620,32.3,32.2,0.0259,249,248,0.434,59.9,58.5,1.47,0
"Fenster, Sonnenschutz, Fassadenplatten","Sonnenschutz, Rollladen motorisiert",5.019,,qm,168000,167000,800,44.3,44.3,0.022,313,313,0.406,74.7,74,0.694,0
Metallbaustoffe,"Aluminiumblech, blank",6.001,2690,kg,12500,12500,19.8,5.23,5.23,0.000788,24.8,24.8,0.0314,5.58,5.57,0.00792,0
Metallbaustoffe,"Aluminiumprofil, blank",6.002,2690,kg,11500,11400,19.8,5.27,5.26,0.000788,25.6,25.6,0.0314,5.7,5.69,0.00792,0
Metallbaustoffe,"Aluminiumprofil blank, WICONA, hergestellt mit Hydro CIRCAL 75R",06.002.01,2690,kg,12700,12700,19.8,4.26,4.26,0.000788,8.88,8.85,0.0314,2.67,2.66,0.00792,0
Metallbaustoffe,Armierungsstahl,6.003,7850,kg,1590,1570,19.5,0.362,0.36,0.00202,3.44,3.39,0.0505,0.785,0.773,0.0122,0
Metallbaustoffe,"Armierungsstahl, Stahl Gerlafingen",06.003.01,7850,kg,1110,1090,19.5,0.393,0.391,0.00202,2.66,2.61,0.0505,0.482,0.47,0.0122,0
Metallbaustoffe,Blei,6.014,11340,kg,3810,3790,19.8,0.248,0.247,0.000788,3.84,3.81,0.0314,1.02,1.01,0.00792,0
Metallbaustoffe,Chromnickelstahlblech 18/8 blank,6.004,7900,kg,9710,9690,11.1,2.41,2.41,0.000582,14.6,14.5,0.0272,4.12,4.11,0.00693,0
Metallbaustoffe,Chromnickelstahlblech 18/8 verzinnt,6.005,7900,kg,13000,13000,11.1,2.69,2.69,0.000582,22.3,22.2,0.0272,5.88,5.87,0.00693,0
Metallbaustoffe,Chromstahlblech blank,6.006,7700,kg,7080,7070,11.1,0.981,0.98,0.000582,8.53,8.51,0.0272,2.74,2.73,0.00693,0
Metallbaustoffe,Chromstahlblech verzinnt,6.007,7700,kg,10400,10400,11.1,1.25,1.25,0.000582,16.2,16.2,0.0272,4.49,4.48,0.00693,0
Metallbaustoffe,"Kupferblech, blank",6.008,8900,kg,24500,24500,19.8,1.64,1.64,0.000788,8.9,8.87,0.0314,2.2,2.2,0.00792,0
Metallbaustoffe,Messing-/Baubronzeblech,6.009,8300,kg,25500,25400,19.8,1.9,1.89,0.000788,11.1,11,0.0314,2.71,2.7,0.00792,0
Metallbaustoffe,"Stahlblech, blank",6.01,7850,kg,5260,5250,11.1,0.628,0.628,0.000582,7.8,7.77,0.0272,2.8,2.79,0.00693,0
Metallbaustoffe,"Stahlblech, verzinkt",6.011,7850,kg,15200,15200,11.1,1.4,1.4,0.000582,15.6,15.6,0.0272,4.49,4.48,0.00693,0
